customer_message,agent_response,company
the signal bars are customarily two bold dots and yes this happens frequently,Thank you for the information. Does the issue happen in one or multiple locations? -PC,sprintcare
It’s working now! Probably a user error. My bad. Thanks!,"That's great news! We're glad to hear that you are back to streaming smoothly, Martin. If you need anything else, just @ us! ✅",hulu_support
Yes you have missed the deadline which was set at the time of purchase. After missing that deadline you have given me a new deadline now,I'm sorry to hear that. Let us investigate this further. Please drop your details here: (1/2),AmazonHelp
why can't you deliver fruit/veg in a single cardboard box? I'm drowning in unnecessary plastic - it's criminal in this day & age,I'm very sorry about this Amy. Can you let us know what store your delivery comes from please? Shaun,sainsburys
"Dear, please credit my account with the miles I earned booking through your partner. It shouldn't take 3 months.","Hi Penelope, have you spoke to they would be the ones to credit this account. *AMS",Delta
have ya’ll been hacked? New wave instrumentals with nature themes is not really the tool NIN genre.,"Hey Wilson, this looks like an issue we are currently tracking. Can you please DM us your Pandora account email address? We'll get back to you after that. Thanks!",PandoraSupport
"Initially amazon sent me a totally wrong item I raised a request for exchange, But in exchange, again they sent me wrong item First you sent me some other shoes and in exchange you sent me a shoes of different size. This is really annoying","Certainly not the kind of experience we'd want you to have, Prithu. Could you please confirm, submitting your details using the link shared earlier?",AmazonHelp
I need help. I still don’t have my package and UPS is not helping. They claim to have attempted delivery even though I’ve been home waiting for this package. This happened both yesterday and today. I don’t know what to do next. I’m beyond frustrated at this point,"Thanks for the update, Jo! Can you please reach out to us here via phone so that we can work with you directly to get this situation resolved?",AmazonHelp
When do you finally find random people in the main quarter because I want to adjust my social rank leveling lvl 8 now,studio currently testing the HQ and this issue will be resolved soon. You can still invite friends into your HQ Hang in there,ATVIAssist
Now the time here is 23:59 and its dark outside and I must sleep. My brain is confused of all those labyrints. Good night/Magnus,"Magnus, can you please follow us & send us a private message with your Adobe ID? Did you register the Acrobat 7 software?",AdobeCare
"Made a special trip to Arby's, even put pants on, and they are out of BEEF for like two hours. So apparently #Arbys doesnt ""HAVE THE MEATS""","We're sorry to hear this. Which location did you visit, Jacob?",ArbysCares
I'm not sure I got the code thru Disney movie club,Have you tried to redeem the code on our site yet? Here's how to do so if not: Keep us posted!,AmazonHelp
I hold it with my hand Thx again for the quick answer!,Is your phone set to Indoor/Treadmill mode? Let us know.,NikeSupport
"my account is locked out and I'm unable to make a reservation. tells me an email was sent, but I haven't rec'vd","Hi David, we've just responded to your DM. Thanks",AirbnbHelp
Das habe ich ja schon alles probiert. Ich habe gerade noch was anderes bestellt also an mir liegt das nicht. Der Artikel wurde von 3 Verschiedenen Personen bereits versucht zu bestellen.,"Sorry, letzte Antwort war nicht korrekt. Es liegt hier ein techn. Problem vor, welches wir mit dem Verkäufer klären. Kein Artikel aus dem Bestand des Verkäufers ist bestellbar. Ich verstehe, dass das ärgerlich ist, wenn genau der Artikel so günsitg angeboten wird.",AmazonHelp
Seems to be affected by my Bluetooth headphones. No issues if I play using my phone's speakers,"Thanks for letting us know. Do you notice this issue happening with other apps? Also, does restarting your phone help at all? /JT",SpotifyCares
Done - but disappointed this post has been running since 2012 and nothing has been done about it. #GiveListenersTheChoice,2: Rest assured we'll pass your feedback on to the right folks. Let us know if there's anything else we can help with /KB,SpotifyCares
#AmazonIndia Tracking #: 216236003917 Contact Number - 9958180363/ __email__,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.",AmazonHelp
Stay far away from! It's not worth the damn headache! If you have ANY other carrier stick with them!,Hey! What's going on? Please let us know to assist. - EG,sprintcare
"Hallo, mein Geld ist ""Vorgemerkt"". Die Ware ist bei dem Käufer gestern aber schon angekommen und ich habe eine Positive Bewertung bei eBay bekommen. Ich hätte gerne mein noch heute ausgezahlt und nicht erst in 21 Tagen!","Hallo, ich kann nachvollziehen, dass du nicht so lange warten möchtest. Hast du denn die Sendungsnummer in den Transaktionsdetails hinterlegt? Wurde die Ware von deinem Kunden im PayPal-Konto als erhalten markiert?",AskPayPal
Any update. I'm not shopping till this is fixed. I don't want to shop from other portals. Fix this ASAP pls.,You should've received a correspondence from our team here: Kindly check.,AmazonHelp
Apparently has a #vegan chestnut wrap.my mouth is watering just thinking about it! Must try it this weekend.,Oh you definitely need to give it a try George it's delicious! We hope you enjoy it :),marksandspencer
You know you travel a lot when your regular bar is the ATL SkyClub.,"Hey Dusty, it is the hot spot in the ATL. 😉 We always love having you hang with us. Now sit back, relax and enjoy. 🍺",Delta
Taking off from MIA Int’l #americanview,We're loving your #AAview and we're so glad we get to share the skies with you!,AmericanAir
I get monthly spam calls from so I'm gunna advert for them here. Great choice if you are lonely and want regular interactions!,Our apologies. Please follow and DM with your full name and phone number so we can look into this. Thank you. -AM,HiltonHelp
"No, he just argued and got ruder and ruder, he kept saying that this was not possible. clearly not listening to the customer.",Sorry for that Matthew- not the experience we want our customers to have. Is the issue being looked into for you or?,AmazonHelp
I have two rooms booked at the Palomar Chicago & now I need a third room. Was wondering if I could possibly have the rate and/or promotion applied to a third reservation? Thanks for your help either way.,"Good news, Vince! We reached out to the team at #PalomarCHI, and it looks like we can def help you out. Keep an eye on your inbox for confirmation of that third room, and let us know if there's anything more we can do to help!",Kimpton
This is where I am at right now,I'm so sorry for the trouble! Please let us know if you need any help.,AdobeCare
#iOS11 I’m swiping down with two fingers trying to read the page. This is after multiple restarts of app and phone. #badapple,We would like to try to help with your iPhone. Send us a DM so we can take a closer look.,AppleSupport
"hey guys, my package says it has arrived in Houston, but it won’t be sent to Monday cause that is the scheduled day. I want to pick it up today or Saturday if possible, or is that against policy.",Thank you for reaching out to us. Please DM us details of your concern or compliment include your tracking and phone number. Don't forget to provide your shipping address.,UPSHelp
